Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,type,Was There Date,HFRA,cGIS HFRA HFTD,,Outage date,outage time,suspected equipment,Contributing Factor,Facility Contacted,Circuit,FIPA Form Name
SCE,1/1/20,20:50,34.1156,-117.259,Other,Rural,Less Than,,,OH-4389384E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,1/1/20,20:50,Equipmen  Insulator,,Other,Harlem Springs,FIPA_2020_0101_2050
SCE,1/3/20,7:11,34.4958,-118.028,Other,Rural,Less Than,,Los Angeles County Fire Department,OH-549798E,T3,,Distributio Conductor Overhead  Yes,,Tier 3,Y,AT&T Com 12,1/3/20,7:11,Equipmen  Conductor,,Unknown,Caliber,FIPA_2020_0103_0711
SCE,1/13/20,8:01,35.6385,-118.405,Vegetation,Urban,Less Than,,,OH-1316770E,T3,,Distributio Other,Overhead  Yes,Tier 3,Y,Frontier Co 12,1/13/20,8:01,Contact From Object  Animal,,Electric Fa  Outside Force,Flycatcher,FIPA_2020_0113_0801
SCE,1/31/20,13:57,33.8947,-118.246,Vegetation,Urban,Less Than,,,OH-1813245E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T Com 16,,,Equipmen  Other,,Other,Hub City,FIPA_2020_0131_1357
SCE,2/4/20,5:43,34.0914,-117.522,Other,Urban,Less Than,,Rancho Cucamonga Fire Department,OH-4894668E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,2/4/20,5:43,Equipmen  Other,,Other,Fields,FIPA_2020_0204_0543
SCE,2/13/20,13:08,34.0915,-117.881,Other,Urban,Less Than,,,OH-1180455E,No,66,Transmissi Other,Overhead  Yes,Non-HFRA N,,None,2/13/20,13:08,Contact From Object  Animal,,Electric Fa  Outside Force,WALNUT-CORTEZ-M FIPA_2020_0213_1308,
SCE,2/22/20,9:40,33.9501,-116.53,Vegetation,Urban,Less Than,,,OH-GT14877,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,2/22/20,9:40,Equipmen  Insulator,,Weather,Rover,FIPA_2020_0222_0940
SCE,2/26/20,23:09,36.3433,-119.304,Vegetation,Rural,Less Than,,,OH-1245599E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,AT&T CALI 12,,,Vandalism/Theft,,Other,Susquehanna,FIPA_2020_0226_2309
SCE,3/2/20,8:07,33.8928,-118.275,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-2274731E,No,16,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,Vandalism/Theft,,Other,Caswell,FIPA_2020_0302_0807
SCE,3/2/20,14:32,34.0348,-118.119,Other,Urban,Less Than,,,OH-1951747E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,AT&T Com 16,3/2/20,14:32,,Contact From Object  Vegetation Electric Fa  Other,,Coronado,FIPA_2020_0302_1432
SCE,3/3/20,20:53,34.0005,-117.963,Other,Urban,Less Than,,,OH-E18873Y,No,,Distributio Lightning A Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Other,,Other,Grazide,FIPA_2020_0303_2053
SCE,3/6/20,11:23,36.2286,-119.065,Other,Urban,Less Than,,Montebello Fire Department,OH-4512718E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,3/6/20,11:23,Contact From Object  Vehicle,,Electric Fa  Outside Force,Burr,FIPA_2020_0306_1123
SCE,3/6/20,17:05,34.0802,-117.254,Other,Rural,Less Than,,,OH-1811355E,T2,12,Distributio Other,Overhead  No,Tier 2,Y,None,,,Equipmen  Insulator,,Weather,Medusa,FIPA_2020_0306_1705
SCE,3/11/20,8:31,35.9854,-119.407,Other,Rural,Less Than,,,OH-2191789E,No,12,Distributio Transform  Overhead  No,,Non-HFRA N,,None,,,Equipmen  Transformer,,Weather,Macomber,FIPA_2020_0311_0831
SCE,3/17/20,15:55,34.6673,-116.939,Other,Urban,Less Than,,,OH-4288653E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,3/17/20,15:55,Contact From Object  Animal,,Electric Fa  Other,Rabbit,FIPA_2020_0317_1555
SCE,3/19/20,12:00,33.6074,-117.92,Vegetation,Rural,Less Than,,,OH-835718E,No,,Distributio Switch,Overhead  No,Non-HFRA N,,AT&T Com 12,,,Equipmen  Switch,,Other,January,FIPA_2020_0319_1200
SCE,4/22/20,15:20,34.44,-118.281,Other,Rural,Less Than,,,OH-1090802E,T3,,Distributio Other,Overhead  No,Tier 3,Y,AT&T Com 16,,,Equipmen  Conductor,,Unknown,Sand Canyon,FIPA_2020_0422_1520
SCE,4/26/20,12:50,34.6606,-118.237,Other,Rural,Less Than,,Antelope Valley Fire Department,OH-1309936E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,4/26/20,12:50,,Contact From Object  Balloons   Electric Fa  Outside Force,,Invention,FIPA_2020_0426_1250
SCE,4/27/20,15:19,37.5304,-118.367,Vegetation,Rural,Less Than,,,OH-45770S,No,,Distributio Lightning A Overhead  Yes,,Non-HFRA N,,Frontier Co 12,4/27/20,15:18,Equipmen  Other,,Other,Chalfant,FIPA_2020_0427_1519
SCE,4/30/20,9:52,33.9231,-116.65,Other,Urban,Less Than,,Palm Springs Fire Department,OH-2329507E,No,33,Distributio Other,Overhead  No,Non-HFRA N,,None,,,Wire-Wire Contact,,Other,Townhall,FIPA_2020_0430_0952
SCE,5/1/20,21:25,34.5654,-118.116,Other,Rural,Less Than,,Los Angeles County Fire Department,OH-4339082E,T2,,Distributio Conductor Overhead  Yes,,Tier 2,Y,AT&T Com 12,5/1/20,21:25,Contact From Object  Vehicle,,Electric Fa  Outside Force,Quinby,FIPA_2020_0501_2125
SCE,5/9/20,3:23,34.1117,-117.28,Other,Urban,Less Than,,,OH-1629706E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,5/9/20,3:23,Other,,Unknown,Waterman,FIPA_2020_0509_0323
SCE,5/10/20,15:13,34.7049,-118.144,Other,Rural,.26 - 9.99,,Los Angeles County Fire Department,OH-736330E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,5/10/20,15:13,,Contact From Object  Balloons   Electric Fa  Outside Force,,Oban,FIPA_2020_0510_1513
SCE,5/11/20,8:14,33.9792,-118.053,Vegetation,Urban,Less Than,,,OH-2061964E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,5/11/20,7:32,Contact From Object  Animal,,Electric Fa  Outside Force,Shade,FIPA_2020_0511_0814
SCE,5/17/20,17:35,34.5757,-118.109,Vegetation,Rural,Less Than,,Los Angeles County Fire Department,OH-928508E,No,,Distributio Fuse,Overhead  Yes,Non-HFRA N,,AT&T Com 12,5/17/20,17:35,Equipmen  Fuse,,Electric Fa  Other,Acrobat,FIPA_2020_0517_1735
SCE,5/18/20,12:10,33.8587,-117.02,Vegetation,Rural,.26 - 9.99,,Cal Fire Perris,OH-1979539E,T3,115,Transmissi Conductor Overhead  No,,Tier 3,Y,None,,,Contact From Object  Other,,Electric Fa  Outside Force,VALLEY-MAYBERRY- FIPA_2020_0518_1210,
SCE,5/21/20,15:20,36.4138,-119.073,Vegetation,Rural,.26 - 9.99,,Woodlake Fire Department,OH-475645E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,AT&T Com 12,5/21/20,15:20,Contact From Object  Vehicle,,Electric Fa  Outside Force,Homer,FIPA_2020_0521_1520
SCE,5/23/20,16:37,34.4139,-119.526,Vegetation,Urban,Less Than,,,OH-4404319E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,Frontier Co 16,5/23/20,13:11,Contact From Object  Animal,,Electric Fa  Outside Force,Sheffield,FIPA_2020_0523_1637
SCE,5/26/20,19:59,34.4206,-117.311,Vegetation,Rural,Less Than,,,OH-2155313E,No,,Distributio Transform  Overhead  Yes,,Non-HFRA N,,Frontier Co 12,5/26/20,4:59,Equipmen  Transformer,,Other,Balsam,FIPA_2020_0526_1959
SCE,5/26/20,22:39,34.1034,-116.498,Other,Rural,10 - 99 Acres,,Cal Fire,OH-2350470E,T3,12,Distributio Conductor Overhead  No,,Tier 3,Y,None,,,Vandalism/Theft,,Other,Kickapoo Trail,FIPA_2020_0526_2239
