,Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was there an outage,Outage date,outage time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes,Circuit
0,SCE,1/1/20,20:50,34.1156,-117.259,Other,Rural,Less Than,,,OH-4389384E,No,12,Other,Overhead,Yes,1/1/20,20:50,,,,Other,,,Harlem Springs
1,SCE,1/3/20,7:11,34.4958,-118.028,Other,Rural,Less Than,,Los Angeles County Fire Department,OH-549798E,T3,,Conductor,Overhead,Yes,1/3/20,7:11,,,,Unknown,,,Caliber
2,SCE,1/13/20,8:01,35.6385,-118.405,Vegetation,Urban,Less Than,,,OH-1316770E,T3,,Other,Overhead,Yes,1/13/20,8:01,,,,Electric Fa  Outside Force,,,Flycatcher
3,SCE,1/31/20,13:57,33.8947,-118.246,Vegetation,Urban,Less Than,,,OH-1813245E,No,,Conductor,Overhead,Yes,,,,,,Other,,,Hub City
4,SCE,2/4/20,5:43,34.0914,-117.522,Other,Urban,Less Than,,Rancho Cucamonga Fire Department,OH-4894668E,No,12,Conductor,Overhead,Yes,2/4/20,5:43,,,,Other,,,Fields
5,SCE,2/13/20,13:08,34.0915,-117.881,Other,Urban,Less Than,,,OH-1180455E,No,66,Other,Overhead,Yes,2/13/20,13:08,,,,Electric Fa  Outside Force,,,WALNUT-CORTEZ-M FIPA_2020_0213_1308
6,SCE,2/22/20,9:40,33.9501,-116.53,Vegetation,Urban,Less Than,,,OH-GT14877,No,,Conductor,Overhead,Yes,2/22/20,9:40,,,,Weather,,,Rover
7,SCE,2/26/20,23:09,36.3433,-119.304,Vegetation,Rural,Less Than,,,OH-1245599E,No,,Conductor,Overhead,Yes,,,,,,Other,,,Susquehanna
8,SCE,3/2/20,8:07,33.8928,-118.275,Vegetation,Urban,Less Than,,Los Angeles County Fire Department,OH-2274731E,No,16,Conductor,Overhead,Yes,,,,,,Other,,,Caswell
9,SCE,3/2/20,14:32,34.0348,-118.119,Other,Urban,Less Than,,,OH-1951747E,No,,Conductor,Overhead,Yes,3/2/20,14:32,,,,,Contact From Object  Vegetation Electric Fa  Other,,Coronado
10,SCE,3/3/20,20:53,34.0005,-117.963,Other,Urban,Less Than,,,OH-E18873Y,No,,Lightning,A,Yes,,,,,,Other,,,Grazide
11,SCE,3/6/20,11:23,36.2286,-119.065,Other,Urban,Less Than,,Montebello Fire Department,OH-4512718E,No,12,Conductor,Overhead,Yes,3/6/20,11:23,,,,Electric Fa  Outside Force,,,Burr
12,SCE,3/6/20,17:05,34.0802,-117.254,Other,Rural,Less Than,,,OH-1811355E,T2,12,Other,Overhead,Yes,,,,,,Weather,,,Medusa
13,SCE,3/11/20,8:31,35.9854,-119.407,Other,Rural,Less Than,,,OH-2191789E,No,12,Transform,,Yes,,,,,,Weather,,,Macomber
14,SCE,3/17/20,15:55,34.6673,-116.939,Other,Urban,Less Than,,,OH-4288653E,No,12,Other,Overhead,Yes,3/17/20,15:55,,,,Electric Fa  Other,,,Rabbit
15,SCE,3/19/20,12:00,33.6074,-117.92,Vegetation,Rural,Less Than,,,OH-835718E,No,,Switch,Overhead,Yes,,,,,,Other,,,January
16,SCE,4/22/20,15:20,34.44,-118.281,Other,Rural,Less Than,,,OH-1090802E,T3,,Other,Overhead,Yes,,,,,,Unknown,,,Sand Canyon
