OBJECTID,Name,kV,kV_Sort,Owner,Status,Circuit,Type,Legend,Length_Mile,Length_Feet,TLine_Name,Engineering_ID,Engineering_Name,Structure_Type,Structure_Material,Source,Comments,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID,Shape__Length
1,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,2,10879.98077, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,25079e29-0a11-4bbb-839a-61616871d910,4198.109765
2,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,3,16505.41124, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,a31ca387-0f42-4e54-bea4-4767a77c8351,6368.076989
3,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,3807.240142, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,0fa76fc2-0381-471d-8c24-7f22a3bfc15a,1470.170054
4,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,6135.615577,,,,,,AMP,Partially underwater,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,957cb685-7311-46d7-8fdd-0c600f4fc1a5,2368.33813
5,ANZA 34kV,34,34,ANZA,Operational,Single,OH,Other_33_92kV,24,127189.4056,,,,,,City of Anza,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:07+00,4323ce1c-f66a-49a3-b607-94dc031f9927,46585.77822
6,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,9248.841388, , , , , ,APUD, ,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,c4b94e82-a4be-4757-8ed1-cf3dab2cbe39,3402.355659
7,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,11733.56624, , , , , ,APUD,,FTHONG,2012/08/14 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,fed15a4f-c95b-4110-a6aa-21184d822b2f,4305.120538
8,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,636.6419623, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,1b31b617-73a1-4394-994f-d9b66c39279b,234.1446304
9,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,3,13212.03647, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,f4c090a1-71e6-45c6-8dd9-e9e6a96a153b,4863.606962
10,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,5195.393356, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,a390bcec-d5f3-4957-a829-21adf840c047,1912.383848
11,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4448.303755, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,2c4c7cae-aad9-48b9-af7f-402cdd2bdcd6,1637.522197
12,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,4672.067698, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,a7eb78f9-8cd0-40ca-8b25-bccd92844838,1716.410758
13,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,11864.38515, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,556a0f8a-85af-4af1-83a6-757dedf8771e,4357.725066
14,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,2153.167559, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,aabb68b9-9f3b-441c-a42e-d08acfa3a951,792.3301351
15,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,7586.094753, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:39+00,d1c5265c-d3cd-4fe5-a95c-2f491265615f,2781.820278
16,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,9321.959367, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,f153fb8f-07e4-43db-8c5b-f2cb589170b7,3415.80256
17,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,0,1903.703987, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,34bfd6a6-b32f-445e-ac0a-4b09a7cbacd8,698.0155226
18,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,5572.137305, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,6d4e4782-e43e-492a-a27a-a2ace42f28cd,2048.216039
19,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,1065.079622, , , , , ,APUD,,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,b1250582-f110-46ff-99d0-f6bb39ae9269,390.2731433
20,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,8059.98812,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,bb1de975-92a9-489c-ad12-8a92943a1177,2966.49989
21,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,3,17482.19329,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,48c451ad-68e8-4c81-8234-0943108919b3,6415.01768
22,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,0,1626.833462,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,f3938a6f-5204-45fa-bf0d-f41155fe4905,598.9151758
23,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,0,1599.02203,,,,,,APUD,,FTHONG,2012/08/15 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,19aabee3-bada-4b8e-b028-febd1ba71c26,587.1800618
24,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4370.713983, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,dbc1648f-00e1-4c93-b2a6-14fedcaca5eb,1604.93165
25,APUD 69kV,69,69,APUD,Operational,Double,UG,Other_33_92kV,3,15609.11106,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,e617a63c-8e85-46d1-96ab-6cc5721fa80e,5727.279803
26,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,1,2923.982922,,,,,,APUD,,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:08+00,59ac8871-69bc-4071-95af-b1f423788b41,1071.922893
