As of: ,,2-Dec-21,,,,,,,,,,,,"Prepared by: Shelby Chase, Safety and Enforcement Division"
Utility,Year,Outage Start,Full Restoration ,Outage Duration,Outage Days,Outage Hours,Circuit Name,HFTD,TOTAL CUSTOMERS IMPACTED,RESIDENTIAL CUSTOMERS,COMMERCIAL/INDUSTRIAL CUSTOMERS,MEDICAL BASELINE CUSTOMERS,OTHER CUSTOMERS,Notes
SDG&E,2013,10/5/13 6:02,10/5/13 14:55,"0 days,8 hrs,53 min",0.37,8.88,79,N/A,85,N/A,N/A,N/A,N/A,
SDG&E,2013,10/5/13 6:05,10/5/13 14:41,"0 days,8 hrs,36 min",0.358,8.6,TL 626 - CIRCUIT 238,N/A,2,N/A,N/A,N/A,N/A,
SDG&E,2013,10/6/13 2:03,10/6/13 8:10,"0 days,6 hrs,7 min",0.255,6.12,79,N/A,83,N/A,N/A,N/A,N/A,
SDG&E,2013,10/6/13 2:10,10/6/13 8:10,"0 days,6 hrs,0 min",0.25,6,79,N/A,11,N/A,N/A,N/A,N/A,
SDG&E,2013,10/6/13 2:13,10/6/13 7:44,"0 days,5 hrs,31 min",0.23,5.52,TL 626 - CIRCUIT 238,N/A,2,N/A,N/A,N/A,N/A,
SDG&E,2014,1/14/14 2:58,1/15/14 11:04,"1 days,8 hrs,6 min",1.337,32.1,TL 626 - CIRCUIT 238,N/A,2,,,,,
SDG&E,2014,1/14/14 19:35,1/15/14 15:06,"0 days,19 hrs,31 min",0.813,19.52,79,N/A,83,,,,,
SDG&E,2014,5/14/14 6:12,5/15/14 14:30,"1 days,8 hrs,18 min",1.346,32.3,79,N/A,85,N/A,N/A,N/A,N/A,
SDG&E,2014,5/14/14 6:25,5/14/14 19:28,"0 days,13 hrs,3 min",0.544,13.05,238,N/A,1,N/A,N/A,N/A,N/A,
SDG&E,2014,5/14/14 7:52,5/14/14 18:20,"0 days,10 hrs,28 min",0.436,10.47,222,N/A,377,N/A,N/A,N/A,N/A,
SDG&E,2014,5/14/14 8:48,5/14/14 19:13,"0 days,10 hrs,25 min",0.434,10.42,1030,N/A,479,N/A,N/A,N/A,N/A,
SDG&E,2014,5/14/14 8:53,5/14/14 16:19,"0 days,7 hrs,26 min",0.31,7.43,358,N/A,250,N/A,N/A,N/A,N/A,
SDG&E,2014,11/24/14 23:13,11/25/14 9:30,"0 days,10 hrs,17 min",0.428,10.28,79,N/A,87,N/A,N/A,N/A,N/A,
