"","ignition_community_","","ignition_population_","","ignition_primary_","","ignition_all_",""
"","b","se","b","se","b","se","b","se"
"ignition","","","","","","","",""
"sens","-.0069433",".0006914","-.0075736",".0007263","-.008622",".0007955","-.00854",".0008013"
"socio",".0131167",".000704",".0135241",".0007102",".0087502",".000827",".0085423",".0008386"
"N","14867136","","14867136","","14846349","","14846349",""
"pseudo R-sq",".0101399","",".0107279","",".0571421","",".062254",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
