"","community_","","population_","","primary_","","all_",""
"","b","se","b","se","b","se","b","se"
"psps","","","","","","","",""
"sens","-.0104314",".0010665","-.0121632",".0012384","-.0049479",".0011847","-.0077977",".0013014"
"socio",".0069473",".0010874",".0087187",".0011203",".0003403",".0013531",".0037731",".0014974"
"N","375064","","375064","","370411","","370411",""
"pseudo R-sq",".07462","",".0811588","",".2874092","",".3655086",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
