"","community_","","population_","","primary_","","all_",""
"","b","se","b","se","b","se","b","se"
"psps","","","","","","","",""
"sens","-.0068387",".0008404","-.0082044",".000931","-.0016488",".0010102","-.0038037",".0010605"
"socio",".0040702",".0008393",".0055918",".000849","-.0063101",".0011169","-.0032799",".0012607"
"N","7335132","","7335132","","6658739","","6658739",""
"pseudo R-sq",".0460639","",".054139","",".3544347","",".4416113",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
