"","community_SCE","","community_PGE","","community_SDGE","","population_SCE","","population_PGE","","population_SDGE","","all_SCE","","all_PGE","","all_SDGE",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"ignition","","","","","","","","","","","","","","","","","",""
"sens",".0014401",".0015483","-.0118529",".000769",".0178712",".0043006",".0045997",".0018742","-.0117498",".0007763",".0132847",".0046106",".0088896",".00207","-.0136898",".0008712",".0086033",".0055324"
"socio",".0029799",".0018031",".0166997",".0007594",".0204935",".0040372",".0017778",".0018233",".0166096",".0007614",".0223838",".0037609","-.0036178",".0019967",".0124618",".0009239",".0137013",".0040943"
"N","3120696","","9879282","","1867158","","3120696","","9879282","","1867158","","3120696","","9879282","","1846371",""
"pseudo R-sq",".0068682","",".0067179","",".013102","",".0080348","",".0067449","",".0186697","",".052202","",".0596229","",".0856974",""
"Population","","","","","","","X","","X","","X","","X","","X","","X",""
"Utility","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E",""
"Primary","","","","","","","","","","","","","X","","X","","X",""
"Derived","","","","","","","","","","","","","X","","X","","X",""
