"","community_","","population_","","primary_","","all_",""
"","b","se","b","se","b","se","b","se"
"psps","","","","","","","",""
"SCE_sens","-.0033524",".0016747","-.0035546",".0022154",".0013599",".0022633","-.0004665",".0023868"
"SCE_socio","-.0056452",".0020199","-.0056204",".0021102","-.024727",".0027097","-.0244293",".0026986"
"PGE_sens","-.0193355",".0014541","-.018385",".0014708","-.0110765",".0014435","-.0154365",".0016271"
"PGE_socio",".012155",".0012878",".0110821",".0012427",".0098672",".0015704",".0161049",".0018173"
"SDGE_sens",".0394471",".0042519",".0465183",".0049813",".0386399",".0063545",".0360053",".007284"
"SDGE_socio",".0246663",".003967",".0404257",".0038472",".0147781",".004522",".0219842",".0049489"
"N","375064","","375064","","370411","","370411",""
"pseudo R-sq",".0814454","",".0896534","",".2920183","",".3708864",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
