"","community_","","population_","","primary_","","all_",""
"","b","se","b","se","b","se","b","se"
"psps","","","","","","","",""
"SCE_sens","-.0022636",".0016473","-.0027532",".002134","-.0007878",".0022408","-.0044122",".002229"
"SCE_socio","-.0100355",".0019632","-.0098804",".0020825","-.0298267",".0026991","-.0301462",".0026465"
"PGE_sens","-.0128353",".0010128","-.0118303",".001011","-.0046501",".0011511","-.0068302",".0012516"
"PGE_socio",".0084797",".0009025",".00757",".0008579","-.0011803",".0011937",".0036536",".0014153"
"SDGE_sens",".0428558",".0035237",".0349255",".0038503",".0358696",".0052318",".0311665",".0055711"
"SDGE_socio",".0188607",".0042051",".0313717",".0036637",".0146982",".0042873",".0195491",".0043038"
"N","7335132","","7335132","","6658739","","6658739",""
"pseudo R-sq",".0508864","",".0587527","",".3572823","",".4447811",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
